Id,Name,TracHier__Domain__c,GPT Parent,GPT Global
0012M000021dtw5QAA,North American Casualty Co.,nacasualty.com,,
0012M000021dy1aQAA,"Home Depot U.S.A., Inc.",homedepot.com,,
0012M000021dy1uQAA,The Home Depot Inc,homedepot.com,,
0012M000021emVSQAY,"ABC News, Inc.",abcnews.go.com,,
0012M000021eopYQAQ,Verizon Connect Telo Inc.,verizonconnect.com,,
001F000001Zp6WPIAZ,"MARS Information Services, Inc.",effem.com,,
0012M000021fJlBQAU,Bell Canada,,,
0012M000021fJm4QAE,Sushi Ro,berkshirehathaway.com,,
0012M000021fQifQAE,Intermec International Inc.,sps.honeywell.com,,
0012M000021fjURQAY,Amazon.Com Services LLC,amazon.com,,
0012M000021g2uJQAQ,Trader Joe's Company,traderjoes.com,,
0012M000021gGDBQA2,Grocery Outlet Inc.,groceryoutlet.com,,
0012M000021gGI3QAM,"Dollar Tree, Inc.",locations.dollartree.com,,
0012M000021gGNvQAM,Trader Joe's East Inc.,livingtraderjoes.com,,
0012M000021gGR4QAM,CONVERSE FRANCE S.A.S,converse.com,,
0012M000024KTuAQAW,Adespresso,adespresso.com,,
0012M000024KTuPQAW,"Seesmic, Inc.",hootsuite.com,,
0012M000024KiYaQAK,"Starwood Hotels & Resorts Worldwide, LLC",starwoodhotels.com,,
0012M000024KiZ4QAK,The Sheraton LLC,sheratonnewyork.com,,
0012M000024KkxAQAS,"Renaissance Hotel Operating Company, Inc",renaissance-hotels.marriott.com,,
0012M000024Kl0DQAS,"RC Marriott, Inc",marriott.com,,
0012M000024KlJ0QAK,The Ritz-Carlton Hotel Company L L C,ritzcarlton.com,,
0012M000024KlS1QAK,New York Life Insurance,newyorklife.com,,
0012M000024L0nBQAS,IT Glue,itglue.com,,
0012M000024L14BQAS,AC Hotels By Marriott,marriott.com,,
0012M000024L18LQAS,Renaissance Hotel Operating Company,renaissance-hotels.marriott.com,,
0012M000024L18aQAC,"Ren Boston Waterfront Hotel, LLC",renaissance-hotels.marriott.com,,
0012M000024LAOmQAO,The Ritz-Carlton Hotel Company LLC,ritzcarlton.com,,
0012M000024LAPuQAO,"RC Marriott II, Inc.",marriott.com,,
0012M000024LRe0QAG,Lucasfilm Ltd. LLC,lucasfilm.com,,
0012M000024MOL2QAO,VODACOM GROUP LTD,vodacom.com,,
0014100001vonKrAAI, Rural Cellular Corporation,,,
001F000000khYR1IAM,State of Maryland,maryland.gov,,
0012M000024MTICQA4,Alltel Corporation,att.com,,
0014100001anQ12AAE," Sam's West, Inc.",samsclub.com,,
0012M000026DVJ4QAO,Icahn Enterprises L.P.,ielp.com,,
0012M000026DVKqQAO,"Westpoint Home, Inc.",westpointhome.com,,
0012M000027JfTGQA0,MEDIA24 (PTY) LTD,media24.com,,
0012M000027JfUEQA0,Panda Rest Grp Inc Store,veramark.com,,
0012M000027JhaeQAC,NASPERS LTD,naspers.com,,
0012M000027Jlk8QAC,Thermo Fisher Scientific (asheville) LLC,thermofisher.com,,
0012M000027Jll7QAC,Electrolux Home Care Products Canada Inc.,electrolux.ca,,
0012M000027K2u0QAC,NASPERS LTD,naspers.com,,
0012M000027K983QAC,Philips North America LLC,usa.philips.com,,
0012M000027K996QAC,"Motorola Solutions, Inc.",motorolasolutions.com,,
0012M000027K9AEQA0,Hewlett Packard Enterprise Company,hpe.com,,
0012M000027KxtuQAC,"Alliance Residential, LLC",allresco.com,,
0012M000027KxuGQAS,"Alliance Residential, LLC",allresco.com,,
0012M000027KxwRQAS,HOCHTIEF Aktiengesellschaft,hochtief.de,,
0014100001anQ1DAAU," Sam's West, Inc.",,,
0014100001anQ1FAAU," Sam's West, Inc.",,,
0012M000027KxwlQAC,HOCHTIEF Solutions AG,hochtief-solutions.de,,
0012M000027KxwvQAC,ACS SERVICIOS COMUNICACIONES Y ENERGIA SA (EXTINGUIDA),dragados.com,,
0012M000027Kxx0QAC,ACS SERVICIOS COMUNICACIONES Y ENERGIA SL COBRA INSTALACIONES Y SERVICIOS SA UTE O&M CASTOR LEY 18-1982,acsindustria.com,,
0012M000027KxxAQAS,COBRA CONCESIONES SL,grupocobra.com,,
0012M000027KxxFQAS,Flatiron Construction Corp.,flatironcorp.com,,
0012M000027KxxKQAS,A Flatiron-Manson Joint Venture,flatironcorp.com,,
0012M000027KxxUQAS,HOCHTIEF Insurance Broking and Risk Management Solutions GmbH,hochtief.de,,
0012M000027LAC8QAO,"GE HEALTHCARE PHARMACEUTICAL, COMMERCIAL AND INDUSTRIAL SOCIETE ANONYME",gehealthcare.gr,,
0012M000027LADkQAO,GE Healthcare Inc.,cytivalifesciences.com,,
0012M000027LAEOQA4,GE Healthcare Inc.,cytivalifesciences.com,,
0012M000027LAEdQAO,GE HEALTHCARE LIMITED,gehealthcare.co.uk,,
001F0000010e2ECIAY,Scotiabank,scotiabank.com,,
0012M000027LAG0QAO,GE INDUSTRIAL CONSOLIDATION LIMITED,,,
0012M000027LAGPQA4,Global Life Sciences Solutions USA LLC,cytivalifesciences.com,,
0012M000027LNwyQAG,ACCENTURE - LATAM,accenture.com,,
0012M000027Lk4rQAC,Genesys Laboratories Canada Inc,genesys.com,,
0014z00001jT06xAAC,Vialto,pwc.com,,
0012M000027Lk4wQAC,Ancestry.com LLC,,,
0012M000027Lk56QAC,LEGALZOOM INTERNATIONAL HOLDINGS LTD,legalzoom.com,,
0012M000027MFEBQA4,GEICO Financial Services Gesellschaft mit beschränkter Haftung,geico.com,,
0012M0000291hvPQAQ,Molson Coors Beverage Company,molsoncoors.com,,
0012M0000291hvTQAQ,Coors Brewing Company,coors.com,,
0012M0000291hvUQAQ,Coors Distributing Co. of Fort Worth,coorsfortworth.com,,
0012M0000291hvVQAQ,Coors Brewing Company,coors.com,,
0012M0000291hvWQAQ,Coors Brewing Company,coors.com,,
0012M0000291hvXQAQ,Coors Distributing Company LLC,cdccoors.com,,
0012M0000291nlrQAA,Molson Packaging,,,
0012M0000291nlsQAA,Molson Coors Brewing Company,molsoncoors.com,,
0012M0000291nltQAA,Permian Distribution,molsoncoors.com,,
0014100001anQ1bAAE," Sam's West, Inc.",,,
0012M0000291nmpQAA,Coors Distributing Company LLC,cdccoors.com,,
0012M0000291nniQAA,Molson Coors Beverage Company USA LLC,molsoncoors.com,,
0012M0000291nnjQAA,Molson Canada 2005,molsoncoors.com,,
0012M0000291no2QAA,Creemore Springs Brewery Limited,creemoresprings.com,,
0012M0000291noHQAQ,Granville Island Brewing Co. Ltd,granvilleislandbrewing.ca,,
0012M0000291npZQAQ,"Jacob Leinenkugel Brewing Co., LLC",leinie.com,,
0012M0000291nveQAA,"Coors Worldwide, Inc.",molsoncoors.com,,
0012M00002920ejQAA,Xerox Corporation,xerox.com,,
0012M00002920ekQAA,Halliburton Company,halliburton.com,,
0012M00002920elQAA,Halliburton Real Estate Services Inc,halliburton.com,,
0012M00002920emQAA,Wellbore Energy Solutions LLC,halliburton.com,,
0012M00002920enQAA,"Halliburton Offshore Services, Inc.",ir.halliburton.com,,
0012M00002920f5QAA,Athlon Solutions LLC,halliburton.com,,
0012M00002920f6QAA,HALLIBURTON ENERGY SERVICES LIMITED,halliburton.com,,
001F000000yFraXIAS,Avios Group (AGL) Limited,avios.com,,
0012M00002920fFQAQ,Athlon Solutions LLC,halliburton.com,,
0012M00002920fQQAQ,HALLIBURTON HOLDINGS (NO. 3),halliburton.com,,
0012M00002920j5QAA,BAROID CORPORATION,halliburton.com,,
0012M00002920jAQAQ,HALLIBURTON HOLDINGS (NO. 3),halliburton.com,,
001F000000sdNq8IAE,Delta Dental Plan of Michigan,deltadentalmi.com,,
0012M00002925TMQAY,Standex International Corporation,standex.com,,
0012M00002925TNQAY,Standex International Corporation,federalind.com,,
0012M00002925TPQAY,Standex International Corporation,standex.com,,
0012M00002925UOQAY,Standex International Corporation,standex.com,,
0012M00002925UPQAY,Standex International Corporation,standex.com,,
0012M00002925URQAY,"Standex Electronics , Inc.",standexelectronics.com,,
001F000000kqMfXIAU,"Cotiviti, Inc",cotiviti.com,,
0012M00002925VeQAI,"Nor-Lake, Incorporated",norlake.com,,
0012M00002925W8QAI,"Nor-Lake, Incorporated",norlake.com,,
0012M00002925XzQAI,ATC-Frost Magnetics Inc,standexelectronics.com,,
0012M00002927F1QAI,"Graybar Electric Company, Inc.",graybar.com,,
001F000001FE61EIAT,American Express Global Business Travel (GBT),amexgbt.com,,
0012M00002927FNQAY,"Coeur, Inc.",itwmedical.com,,
0012M00002927GmQAI,Illinois Tool Works Inc.,itw.com,,
0012M00002927GnQAI,"Coeur, Inc.",itwmedical.com,,
0012M00002927GxQAI,ITW Food Equipment Group LLC,itwfoodequipment.com,,
