Id,Name,Domain,Direct Parent,Global Parent
0012M000021dtw5QAA,North American Casualty Co.,nacasualty.com,,North American Company
0012M000021dy1aQAA,"Home Depot U.S.A., Inc.",homedepot.com,The Home Depot Inc,The Home Depot Inc
0012M000021dy1uQAA,The Home Depot Inc,homedepot.com,,The Home Depot Inc
0012M000021emVSQAY,"ABC News, Inc.",abcnews.go.com,,The Walt Disney Company
0012M000021eopYQAQ,Verizon Connect Telo Inc.,verizonconnect.com,Verizon Communications Inc.,Verizon Communications Inc.
001F000001Zp6WPIAZ,"MARS Information Services, Inc.",effem.com,"Mars, Incorporated","Mars, Incorporated"
0012M000021fJlBQAU,Bell Canada,,,BCE Inc.
0012M000021fJm4QAE,Sushi Ro,berkshirehathaway.com,Berkshire Hathaway Inc.,Berkshire Hathaway Inc.
0012M000021fQifQAE,Intermec International Inc.,sps.honeywell.com,Honeywell International Inc.,Honeywell International Inc.
0012M000021fjURQAY,Amazon.Com Services LLC,amazon.com,Amazon.com Inc.,Amazon.com Inc.
0012M000021g2uJQAQ,Trader Joe's Company,traderjoes.com,,
0012M000021gGDBQA2,Grocery Outlet Inc.,groceryoutlet.com,,
0012M000021gGI3QAM,"Dollar Tree, Inc.",locations.dollartree.com,,
0012M000021gGNvQAM,Trader Joe's East Inc.,livingtraderjoes.com,,
0012M000021gGR4QAM,CONVERSE FRANCE S.A.S,converse.com,,
0012M000024KTuAQAW,Adespresso,adespresso.com,AT&T Inc.,AT&T Inc.
0012M000024KTuPQAW,"Seesmic, Inc.",hootsuite.com,Walmart Inc.,Walmart Inc.
0012M000024KiYaQAK,"Starwood Hotels & Resorts Worldwide, LLC",starwoodhotels.com,,
0012M000024KiZ4QAK,The Sheraton LLC,sheratonnewyork.com,,
0012M000024KkxAQAS,"Renaissance Hotel Operating Company, Inc",renaissance-hotels.marriott.com,Naspers Limited,Naspers Limited
0012M000024Kl0DQAS,"RC Marriott, Inc",marriott.com,,
0012M000024KlJ0QAK,The Ritz-Carlton Hotel Company L L C,ritzcarlton.com,,
0012M000024KlS1QAK,New York Life Insurance,newyorklife.com,Thermo Fisher Scientific Inc.,Thermo Fisher Scientific Inc.
0012M000024L0nBQAS,IT Glue,itglue.com,Electrolux AB,Electrolux AB
0012M000024L14BQAS,AC Hotels By Marriott,marriott.com,NASPERS LTD,NASPERS LTD
0012M000024L18LQAS,Renaissance Hotel Operating Company,renaissance-hotels.marriott.com,Koninklijke Philips N.V.,Koninklijke Philips N.V.
0012M000024L18aQAC,"Ren Boston Waterfront Hotel, LLC",renaissance-hotels.marriott.com,"Motorola Solutions, Inc.","Motorola Solutions, Inc."
0012M000024LAOmQAO,The Ritz-Carlton Hotel Company LLC,ritzcarlton.com,Hewlett Packard Enterprise,Hewlett Packard Enterprise
0012M000024LAPuQAO,"RC Marriott II, Inc.",marriott.com,Alliance Residential Company,Alliance Residential Company
0012M000024LRe0QAG,Lucasfilm Ltd. LLC,lucasfilm.com,HOCHTIEF Aktiengesellschaft,HOCHTIEF Aktiengesellschaft
0012M000024MOL2QAO,VODACOM GROUP LTD,vodacom.com,,
0014100001vonKrAAI, Rural Cellular Corporation,,,
001F000000khYR1IAM,State of Maryland,maryland.gov,,
0012M000024MTICQA4,Alltel Corporation,att.com,,
0014100001anQ12AAE," Sam's West, Inc.",samsclub.com,,
0012M000026DVJ4QAO,Icahn Enterprises L.P.,ielp.com,,
0012M000026DVKqQAO,"Westpoint Home, Inc.",westpointhome.com,,
0012M000027JfTGQA0,MEDIA24 (PTY) LTD,media24.com,,
0012M000027JfUEQA0,Panda Rest Grp Inc Store,veramark.com,,
0012M000027JhaeQAC,NASPERS LTD,naspers.com,,
0012M000027Jlk8QAC,Thermo Fisher Scientific (asheville) LLC,thermofisher.com,,
0012M000027Jll7QAC,Electrolux Home Care Products Canada Inc.,electrolux.ca,,
0012M000027K2u0QAC,NASPERS LTD,naspers.com,,
0012M000027K983QAC,Philips North America LLC,usa.philips.com,,
0012M000027K996QAC,"Motorola Solutions, Inc.",motorolasolutions.com,,
0012M000027K9AEQA0,Hewlett Packard Enterprise Company,hpe.com,,
0012M000027KxtuQAC,"Alliance Residential, LLC",allresco.com,,
0012M000027KxuGQAS,"Alliance Residential, LLC",allresco.com,,
0012M000027KxwRQAS,HOCHTIEF Aktiengesellschaft,hochtief.de,,
