Id,Name,Domain,Direct Parent,Global Parent
0012M000021dtw5QAA,North American Casualty Co.,nacasualty.com,N/A,N/A
0012M000021dy1aQAA,"Home Depot U.S.A., Inc.",homedepot.com,The Home Depot Inc,The Home Depot Inc
0012M000021dy1uQAA,The Home Depot Inc,homedepot.com,,
0012M000021emVSQAY,"ABC News, Inc.",abcnews.go.com,N/A,N/A
0012M000021eopYQAQ,Verizon Connect Telo Inc.,verizonconnect.com,Verizon Connect,Verizon Communications Inc.
001F000001Zp6WPIAZ,"MARS Information Services, Inc.",effem.com,"Mars, Incorporated","Mars, Incorporated"
0012M000021fJlBQAU,Bell Canada,,N/A,N/A
0012M000021fJm4QAE,Sushi Ro,berkshirehathaway.com,Berkshire Hathaway Inc.,Berkshire Hathaway Inc.
0012M000021fQifQAE,Intermec International Inc.,sps.honeywell.com,Honeywell International Inc.,Honeywell International Inc.
0012M000021fjURQAY,Amazon.Com Services LLC,amazon.com,"Amazon.com, Inc.","Amazon.com, Inc."
0012M000021g2uJQAQ,Trader Joe's Company,traderjoes.com,,
0012M000021gGDBQA2,Grocery Outlet Inc.,groceryoutlet.com,,
0012M000021gGI3QAM,"Dollar Tree, Inc.",locations.dollartree.com,,
0012M000021gGNvQAM,Trader Joe's East Inc.,livingtraderjoes.com,Trader Joe's Company,
0012M000021gGR4QAM,CONVERSE FRANCE S.A.S,converse.com,,Converse
0012M000024KTuAQAW,Adespresso,adespresso.com,,Hootsuite
0012M000024KTuPQAW,"Seesmic, Inc.",hootsuite.com,,Hootsuite
0012M000024KiYaQAK,"Starwood Hotels & Resorts Worldwide, LLC",starwoodhotels.com,,Marriott International
0012M000024KiZ4QAK,The Sheraton LLC,sheratonnewyork.com,,Marriott International
0012M000024KkxAQAS,"Renaissance Hotel Operating Company, Inc",renaissance-hotels.marriott.com,,Marriott International
0012M000024Kl0DQAS,"RC Marriott, Inc",marriott.com,AC Hotels By Marriott,Marriott International
0012M000024KlJ0QAK,The Ritz-Carlton Hotel Company L L C,ritzcarlton.com,The Ritz-Carlton Hotel Company LLC,Marriott International
0012M000024KlS1QAK,New York Life Insurance,newyorklife.com,,
0012M000024L0nBQAS,IT Glue,itglue.com,,
0012M000024L14BQAS,AC Hotels By Marriott,marriott.com,Marriott International,Marriott International
0012M000024L18LQAS,Renaissance Hotel Operating Company,renaissance-hotels.marriott.com,,Marriott International
0012M000024L18aQAC,"Ren Boston Waterfront Hotel, LLC",renaissance-hotels.marriott.com,,Marriott International
0012M000024LAOmQAO,The Ritz-Carlton Hotel Company LLC,ritzcarlton.com,,Marriott International
0012M000024LAPuQAO,"RC Marriott II, Inc.",marriott.com,AC Hotels By Marriott,Marriott International
0012M000024LRe0QAG,Lucasfilm Ltd. LLC,lucasfilm.com,,
0012M000024MOL2QAO,VODACOM GROUP LTD,vodacom.com,,VODACOM GROUP LTD
0014100001vonKrAAI, Rural Cellular Corporation,,Not Found,Not Found
001F000000khYR1IAM,State of Maryland,maryland.gov,,State of Maryland
0012M000024MTICQA4,Alltel Corporation,att.com,,AT&T
0014100001anQ12AAE," Sam's West, Inc.",samsclub.com,Not Found,Not Found
0012M000026DVJ4QAO,Icahn Enterprises L.P.,ielp.com,,Icahn Enterprises L.P.
0012M000026DVKqQAO,"Westpoint Home, Inc.",westpointhome.com,,"Westpoint Home, Inc."
0012M000027JfTGQA0,MEDIA24 (PTY) LTD,media24.com,,Naspers
0012M000027JfUEQA0,Panda Rest Grp Inc Store,veramark.com,,VeraMark
0012M000027JhaeQAC,NASPERS LTD,naspers.com,N/A,Naspers Limited
0012M000027Jlk8QAC,Thermo Fisher Scientific (asheville) LLC,thermofisher.com,Thermo Fisher Scientific,Thermo Fisher Scientific
0012M000027Jll7QAC,Electrolux Home Care Products Canada Inc.,electrolux.ca,Electrolux AB,Electrolux AB
0012M000027K2u0QAC,NASPERS LTD,naspers.com,N/A,Naspers Limited
0012M000027K983QAC,Philips North America LLC,usa.philips.com,Koninklijke Philips N.V.,Koninklijke Philips N.V.
0012M000027K996QAC,"Motorola Solutions, Inc.",motorolasolutions.com,N/A,"Motorola Solutions, Inc."
0012M000027K9AEQA0,Hewlett Packard Enterprise Company,hpe.com,N/A,Hewlett Packard Enterprise
0012M000027KxtuQAC,"Alliance Residential, LLC",allresco.com,N/A,Alliance Residential Company
0012M000027KxuGQAS,"Alliance Residential, LLC",allresco.com,N/A,Alliance Residential Company
0012M000027KxwRQAS,HOCHTIEF Aktiengesellschaft,hochtief.de,N/A,HOCHTIEF Group
